Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2008/01/22,84200,9901,1745,980,2700,9395,1870
2008/01/23,85001,9851,1716,990,2699,9400,1945
2008/01/24,85501,10395,1790,994,2849,9766,1950
2008/01/25,86750,10109,1770,1030,2725,9600,1900
2008/01/28,87000,9877,1660,1000,2641,9110,1840
2008/01/29,86800,10180,1677,1010,2660,9249,1850
2008/01/30,86000,10099,1671,1000,2733,9300,1967
2008/01/31,86000,10099,1660,1010,2600,8960,1944
2008/02/01,86500,10297,1760,1012,2840,9200,2065
2008/02/04,90000,10396,1790,1005,2780,9201,1992
2008/02/05,87052,10010,1680,1000,2600,8810,1878
2008/02/06,87500,10646,1643,1005,2628,8900,1949
2008/02/07,88050,10100,1611,1002,2574,8590,1880
2008/02/08,88050,10098,1615,1000,2580,8502,1915
2008/02/11,87052,9901,1599,1015,2540,8500,1850
2008/02/12,87000,10590,1648,1020,2600,8800,1875
2008/02/13,88000,10743,1710,1020,2660,9100,1905
2008/02/14,86000,10906,1739,1020,2670,9325,1895
2008/02/15,88000,10644,1710,1020,2575,8900,1865
2008/02/18,88000,10644,1719,1020,2665,9300,1890
2008/02/19,88000,10969,1775,1020,2780,9580,1900
2008/02/20,87800,10545,1750,1020,2750,9390,1845
2008/02/21,87500,10594,1741,1040,2770,9600,1900
2008/02/22,87500,10584,1760,1025,2800,9450,1870
2008/02/25,87999,10450,1805,1050,2800,9575,1895
2008/02/26,87999,10733,1938,1025,3000,9900,1937
2008/02/27,87515,10792,1921,1035,2900,9540,1930
2008/02/28,88000,11239,1872,1037,2830,9599,1859
2008/02/29,88000,11486,1870,1055,2800,9850,1875
2008/03/03,88255,11738,1799,1050,2786,9420,1850
2008/03/04,88500,11450,1703,1060,2702,9301,1836
2008/03/05,88500,11559,1651,1055,2575,9200,1800
2008/03/06,88300,11683,1676,1060,2663,9533,1880
2008/03/07,88200,11700,1620,1055,2560,9400,1850
2008/03/10,83500,11535,1622,1050,2530,9300,1883
2008/03/11,83600,11485,1699,1050,2656,9629,2005
2008/03/12,83600,11682,1686,1038,2612,9449,2067
2008/03/13,83600,11287,1614,1020,2597,9149,1980
2008/03/14,83300,10942,1600,1025,2580,9200,1990
2008/03/17,83400,10495,1540,1015,2441,8930,1959
2008/03/18,82800,11089,1604,1025,2537,9200,1990
2008/03/19,82800,10891,1582,1050,2580,9085,2035
2008/03/20,83600,10640,1540,998,2455,8970,1900
2008/03/25,83615,11238,1605,995,2580,8970,1926
2008/03/26,83800,11350,1610,990,2570,9200,1982
2008/03/27,84000,11485,1655,990,2590,9350,2039
2008/03/28,83815,11089,1647,980,2550,9163,1995
2008/03/31,83790,11089.11,1600,980,2450,8820,1910
2008/04/01,83400,11300,1620,980,2500,9169,1979
2008/04/02,83399,11386,1708,985,2650,9450,2050
2008/04/03,83399,11525,1685,970,2680,9225,2015
2008/04/04,82525,11683,1693,970,2667,9351,2060
2008/04/07,82900,11980,1705,975,2710,9400,2133
2008/04/08,82500,12200,1717,962,2725,9390,2137
2008/04/09,83000,11881,1710,978,2702,9340,2131
2008/04/10,82990,11385,1665,970,2650,9090,2105
2008/04/11,82700,11272,1650,980,2600,9179,2130
2008/04/14,82318,11380,1616,995,2555,9050,2090
2008/04/15,82300,11683,1668,1015,2610,9040,2121
2008/04/16,82500,11680,1630,1001,2581,9000,2125
2008/04/17,82550,11790,1600,1009,2542,8950,2120
2008/04/18,83399,11832,1619,1010,2575,9020,2175
